Country,Year,ANTIGEN,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,COVERAGE
Finland,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
France,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Gabon,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,45
Gambia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Georgia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,82
Germany,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Ghana,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Greece,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Grenada,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Guatemala,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Guinea,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,59
Guinea-Bissau,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,68
Guyana,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Haiti,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,60
Honduras,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Hungary,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Iceland,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
India,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,65
Indonesia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,72
Iran (Islamic Republic of),2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Iraq,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,65
Ireland,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Israel,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Italy,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Jamaica,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Japan,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Jordan,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Kazakhstan,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Kenya,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,76
Kiribati,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
Kuwait,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Kyrgyzstan,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Lao People's Democratic Republic,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,49
Latvia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Lebanon,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,78
Lesotho,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Liberia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,60
Libya,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Lithuania,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Luxembourg,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Madagascar,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Malawi,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Malaysia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Maldives,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Mali,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,77
Malta,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Marshall Islands,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,77
Mauritania,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,71
Mauritius,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Mexico,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Micronesia (Federated States of),2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Monaco,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Mongolia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Morocco,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Mozambique,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,80
Myanmar,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,73
Namibia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Nauru,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,80
Nepal,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,75
Netherlands (Kingdom of the),2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
New Zealand,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Nicaragua,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Niger,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,45
Nigeria,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,36
Niue,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
North Macedonia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Norway,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
"occupied Palestinian territory, including east Jerusalem",2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Oman,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Pakistan,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,63
Palau,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Panama,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Papua New Guinea,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,72
Paraguay,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Peru,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,77
Philippines,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Poland,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Portugal,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Qatar,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Republic of Korea,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Republic of Moldova,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Romania,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Russian Federation,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Rwanda,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Saint Kitts and Nevis,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Saint Lucia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Saint Vincent and the Grenadines,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Samoa,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,59
San Marino,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Sao Tome and Principe,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Saudi Arabia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Senegal,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Serbia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Seychelles,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Sierra Leone,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,65
Singapore,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Slovakia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Slovenia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Solomon Islands,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Somalia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,35
South Africa,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Spain,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Sri Lanka,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Sudan,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,78
Suriname,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Sweden,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Switzerland,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Syrian Arab Republic,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,80
Tajikistan,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Thailand,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Timor-Leste,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,55
Togo,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,82
Tonga,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Trinidad and Tobago,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Tunisia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Türkiye,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Turkmenistan,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Tuvalu,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Uganda,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,64
Ukraine,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
United Arab Emirates,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
United Kingdom of Great Britain and Northern Ireland,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
United Republic of Tanzania,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
United States of America,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Uruguay,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Uzbekistan,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Vanuatu,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,68
Venezuela (Bolivarian Republic of),2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Viet Nam,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Yemen,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
Zambia,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,82
Zimbabwe,2005,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,68
Afghanistan,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,50
Albania,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Algeria,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Andorra,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Angola,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,47
Antigua and Barbuda,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Argentina,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Armenia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Australia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Austria,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Azerbaijan,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,77
Bahamas,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Bahrain,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Bangladesh,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Barbados,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Belarus,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Belgium,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Belize,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Benin,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,72
Bhutan,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Bolivia (Plurinational State of),2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Bosnia and Herzegovina,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Botswana,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Brazil,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Brunei Darussalam,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Bulgaria,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Burkina Faso,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
Burundi,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Cabo Verde,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Cambodia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Cameroon,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,73
Canada,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Central African Republic,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,51
Chad,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,21
Chile,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
China,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Colombia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Comoros,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,76
Congo,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,67
Cook Islands,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Costa Rica,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Côte d'Ivoire,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,67
Croatia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Cuba,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Cyprus,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Czechia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Democratic People's Republic of Korea,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,72
Democratic Republic of the Congo,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,54
Denmark,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Djibouti,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,64
Dominica,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Dominican Republic,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
Ecuador,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Egypt,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
El Salvador,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Equatorial Guinea,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,43
Eritrea,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Estonia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Eswatini,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Ethiopia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,40
Fiji,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Finland,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
France,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Gabon,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,45
Gambia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Georgia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,78
Germany,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Ghana,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,80
Greece,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Grenada,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Guatemala,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Guinea,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,60
Guinea-Bissau,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,64
Guyana,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Haiti,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,57
Honduras,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Hungary,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Iceland,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
India,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,63
Indonesia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,71
Iran (Islamic Republic of),2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Iraq,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,74
Ireland,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Israel,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Italy,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Jamaica,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Japan,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Jordan,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Kazakhstan,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,82
Kenya,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,73
Kiribati,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,62
Kuwait,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Kyrgyzstan,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Lao People's Democratic Republic,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,45
Latvia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Lebanon,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,76
Lesotho,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Liberia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,31
Libya,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Lithuania,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Luxembourg,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Madagascar,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,78
Malawi,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Malaysia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Maldives,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Mali,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,69
Malta,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Marshall Islands,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,64
Mauritania,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,70
Mauritius,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Mexico,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Micronesia (Federated States of),2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,78
Monaco,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Mongolia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Morocco,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Mozambique,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Myanmar,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,82
Namibia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Nauru,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,80
Nepal,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,80
Netherlands (Kingdom of the),2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
New Zealand,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Nicaragua,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
Niger,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,43
Nigeria,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,33
Niue,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
North Macedonia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Norway,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
"occupied Palestinian territory, including east Jerusalem",2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Oman,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Pakistan,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,68
Palau,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Panama,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Papua New Guinea,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,62
Paraguay,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Peru,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Philippines,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Poland,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Portugal,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Qatar,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Republic of Korea,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Republic of Moldova,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Romania,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Russian Federation,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Rwanda,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Saint Kitts and Nevis,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Saint Lucia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Saint Vincent and the Grenadines,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Samoa,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,63
San Marino,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Sao Tome and Principe,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Saudi Arabia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Senegal,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Serbia,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Seychelles,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Sierra Leone,2004,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,65
